,dist_type,layer,pseudo-F,p-value
396,energy,18,2.443451383910348,0.0392
397,energy,19,3.5688492170564126,0.0017
398,energy,20,4.289708148054923,0.0028
399,energy,21,6.486909137746391,0.001
400,energy,22,5.64044271291774,0.0008
401,energy,23,4.555176705934882,0.0115
402,energy,24,2.868371175497031,0.0201
403,energy,25,4.554354752339286,0.0045
404,energy,26,4.568363021995374,0.0025
405,energy,27,3.668326433294029,0.0118
406,energy,28,4.206072464449592,0.0066
407,energy,29,4.014338759349529,0.004
408,energy,30,3.1216710794344493,0.0439
409,energy,31,3.573856694671653,0.0303
410,energy,32,4.283392890125093,0.0105
411,energy,33,4.593942190957868,0.0034
412,energy,34,4.721440206148902,0.0019
413,energy,35,4.473759141204296,0.0045
414,energy,36,3.4113369618772142,0.0295
415,energy,37,3.8946515110449433,0.0039
416,energy,38,4.484514150119463,0.0006
417,energy,39,3.7081917874873587,0.0156
418,energy,40,3.6264076784164843,0.0227
419,energy,41,4.749679823937221,0.0005
420,energy,42,4.622409409534781,0.0008
421,energy,43,4.712386942872922,0.0007
422,energy,44,4.518503445356732,0.0017
423,energy,45,3.654100017106261,0.0079
424,energy,46,3.6913625761038986,0.0092
425,energy,47,4.029165231510008,0.0068
426,energy,48,3.945871168953881,0.0066
427,energy,49,3.617893949561754,0.0175
428,energy,50,3.946729020498912,0.0096
429,energy,51,3.954332212938747,0.0081
430,energy,52,3.9195516235380197,0.0071
431,energy,53,3.9813129098374938,0.0036
432,energy,54,3.884024136443124,0.0034
433,energy,55,4.283869506976328,0.0011
434,energy,56,4.762866333845089,0.0001
435,energy,57,4.702629726663639,0.0001
436,energy,58,4.789464780073984,0.0001
437,energy,59,4.821228594974235,0.0001
438,energy,60,4.517392308189696,0.0001
439,energy,61,4.638517670362345,0.0001
440,energy,62,4.597559467973547,0.0001
441,energy_unit,0,2.340104336531734,0.0055
442,energy_unit,1,2.403463848426813,0.0023
443,energy_unit,2,1.962260676385426,0.0143
444,energy_unit,3,1.9844167438155553,0.0131
445,energy_unit,4,1.9283849451137463,0.0173
446,energy_unit,5,1.8647345956308765,0.047
447,energy_unit,6,2.009468360988138,0.0288
448,energy_unit,7,2.197197842986771,0.0143
449,energy_unit,8,1.8710483425696456,0.0397
450,energy_unit,9,2.5485786525842413,0.0041
451,energy_unit,10,2.219833098839909,0.0096
452,energy_unit,11,2.751865551100117,0.0018
453,energy_unit,12,2.901832566048092,0.0011
454,energy_unit,13,3.171686183568731,0.0004
455,energy_unit,14,3.779081022165613,0.0001
456,energy_unit,15,4.280451512501742,0.0001
457,energy_unit,16,3.688136645872977,0.0004
458,energy_unit,17,3.411706782044026,0.0047
459,energy_unit,18,2.800016952709557,0.0219
460,energy_unit,19,3.2250052377209464,0.0072
461,energy_unit,20,3.3179275631671286,0.0072
462,energy_unit,21,4.3787674194183746,0.0047
463,energy_unit,22,3.624978541610356,0.0042
464,energy_unit,23,3.3186185938025248,0.0082
465,energy_unit,24,2.5860322542646785,0.0447
466,energy_unit,25,2.3223276604940235,0.0638
467,energy_unit,26,2.8333844179654974,0.0092
468,energy_unit,27,3.073154586575347,0.0098
469,energy_unit,28,3.674385358921541,0.0007
470,energy_unit,29,3.6498338895936886,0.0009
471,energy_unit,30,4.380212290940255,0.0001
